06/05/2025 12:51|Transferencia|-50.00|964
06/05/2025 12:51|Transferencia|50.00|386
06/05/2025 12:51|Transferencia|-50.00|964
06/05/2025 12:51|Transferencia|50.00|386
06/05/2025 12:51|Transferencia|-700.00|386
06/05/2025 12:51|Transferencia|700.00|964
06/05/2025 12:52|Transferencia|-350.00|964
06/05/2025 12:52|Transferencia|350.00|386
06/05/2025 12:52|Transferencia|-300.00|964
06/05/2025 12:52|Transferencia|300.00|386
06/05/2025 17:16|Transferencia|-26.00|964
06/05/2025 17:16|Transferencia|26.00|678
08/05/2025 10:31|Transferencia|-600.00|100
08/05/2025 10:31|Transferencia|600.00|101
08/05/2025 21:06|Transferencia|-5000000.00|591
08/05/2025 21:06|Transferencia|5000000.00|863
08/05/2025 22:08|Transferencia|-325.00|591
08/05/2025 22:08|Transferencia|325.00|100
08/05/2025 22:08|Transferencia|-654.00|591
08/05/2025 22:08|Transferencia|654.00|100
08/05/2025 22:08|Transferencia|-663.00|591
08/05/2025 22:08|Transferencia|663.00|100
08/05/2025 22:08|Transferencia|-788.00|591
08/05/2025 22:08|Transferencia|788.00|100
08/05/2025 22:36|Transferencia|-80.00|332
08/05/2025 22:36|Transferencia|80.00|571
